sku,design_family,design_name,status,matched_tags,approved_tags
"AFHFMS0297","AFMS0297","Do Everything In Love",updated,"Party-Time","Balloons | Bible-Scriptures | Hearts | Party-Time | Religious | Seasonal | Valentines-Day"
"AFGFMS0348","AFMS0348","Happy Hour!",updated,"Beer | Party-Time","Beer | Party-Time"
"AFHFMS0348","AFMS0348","Happy Hour!",updated,"Beer | Party-Time","Beer | Party-Time"
"AFGFMS0349","AFMS0349","Every Day Is Wine Day!",updated,"Party-Time | Wine-Drinks","Grapes | Party-Time | Summer | Wine-Drinks"
"AFHFMS0349","AFMS0349","Every Day Is Wine Day!",updated,"Party-Time | Wine-Drinks","Grapes | Party-Time | Summer | Wine-Drinks"
"AFGFMS0350","AFMS0350","Sour Life-Sweeten With Pina Coladas",updated,"Margaritas | Party-Time","Country-Living | Food-Wine | Humor | Margaritas | Party-Time | Pineapples"
"AFHFMS0350","AFMS0350","Sour Life-Sweeten With Pina Coladas",updated,"Margaritas | Party-Time","Country-Living | Food-Wine | Humor | Margaritas | Party-Time | Pineapples"
"AFGFMS0351","AFMS0351","Make Mine A Margarita!",updated,"Margaritas | Party-Time","Margaritas | Party-Time | Strawberries"
"AFHFMS0351","AFMS0351","Make Mine A Margarita!",updated,"Margaritas | Party-Time","Margaritas | Party-Time | Strawberries"
"AFGFMS0352","AFMS0352","Cheers!",updated,"Beer | Party-Time | Wine-Drinks","Beer | Party-Time | Summer | Wine-Drinks"
"AFHFMS0352","AFMS0352","Cheers!",updated,"Beer | Party-Time | Wine-Drinks","Beer | Party-Time | Summer | Wine-Drinks"
"AFGFMS0353","AFMS0353","Cold Brew Time",updated,"Beer | Party-Time | Wine-Drinks","Beer | Party-Time | Summer | Wine-Drinks"
"AFHFMS0353","AFMS0353","Cold Brew Time",updated,"Beer | Party-Time | Wine-Drinks","Beer | Party-Time | Summer | Wine-Drinks"
"AFGFMS0354","AFMS0354","Great Friends Bring Beer",updated,"Beer | Party-Time","Beer | Family-Friends | Friends | Party-Time"
"AFHFMS0354","AFMS0354","Great Friends Bring Beer",updated,"Beer | Party-Time","Beer | Family-Friends | Friends | Party-Time"
"AFGFMS0355","AFMS0355","Every Day Is Beer Day",updated,"Beer | Party-Time","Beer | Party-Time"
"AFHFMS0355","AFMS0355","Every Day Is Beer Day",updated,"Beer | Party-Time","Beer | Party-Time"
"AFGFMS0356","AFMS0356","Today Is Beer Day!",updated,"Beer | Party-Time","Beer | Party-Time | Patterns | Stripes"
"AFHFMS0356","AFMS0356","Today Is Beer Day!",updated,"Beer | Party-Time","Beer | Party-Time | Patterns | Stripes"
"AFGFMS0357","AFMS0357","Don't Worry Beer Happy",updated,"Beer | Party-Time","Beer | Party-Time"
"AFHFMS0357","AFMS0357","Don't Worry Beer Happy",updated,"Beer | Party-Time","Beer | Party-Time"
"AFGFMS0358","AFMS0358","Save Water Drink Beer",updated,"Beer | Party-Time","Beer | Party-Time | Sweets"
"AFHFMS0358","AFMS0358","Save Water Drink Beer",updated,"Beer | Party-Time","Beer | Party-Time | Sweets"
"AFGFMS0359","AFMS0359","Beer Cheers!",updated,"Beer | Party-Time | Wine-Drinks","Beer | Party-Time | Summer | Wine-Drinks"
"AFHFMS0359","AFMS0359","Beer Cheers!",updated,"Beer | Party-Time | Wine-Drinks","Beer | Party-Time | Summer | Wine-Drinks"
"AFGFMS0360","AFMS0360","Wine Welcome",updated,"Party-Time | Wine-Drinks","Grapes | Love-Happiness | Party-Time | Summer | Welcome-Flags | Wine-Drinks"
"AFHFMS0360","AFMS0360","Wine Welcome",updated,"Party-Time | Wine-Drinks","Grapes | Love-Happiness | Party-Time | Summer | Welcome-Flags | Wine-Drinks"
"AFGFMS0361","AFMS0361","Sip, Sip, Hooray!",updated,"Beer | Party-Time","Beer | Party-Time"
"AFHFMS0361","AFMS0361","Sip, Sip, Hooray!",updated,"Beer | Party-Time","Beer | Party-Time"
"AFGFMS0362","AFMS0362","Great Minds Drink Alike",updated,"Beer | Party-Time","Beer | Family-Friends | Friends | Party-Time"
"AFHFMS0362","AFMS0362","Great Minds Drink Alike",updated,"Beer | Party-Time","Beer | Family-Friends | Friends | Party-Time"
"AFGFMS0363","AFMS0363","Relax With Wine",updated,"Party-Time | Wine-Drinks","Grapes | Party-Time | Summer | Wine-Drinks"
"AFHFMS0363","AFMS0363","Relax With Wine",updated,"Party-Time | Wine-Drinks","Grapes | Party-Time | Summer | Wine-Drinks"
"AFGFMS0364","AFMS0364","Wine And Friends!",updated,"Party-Time | Wine-Drinks","Family-Friends | Party-Time | Summer | Wine-Drinks"
"AFHFMS0364","AFMS0364","Wine And Friends!",updated,"Party-Time | Wine-Drinks","Family-Friends | Party-Time | Summer | Wine-Drinks"
"AFGFMS0365","AFMS0365","Always Time For Wine",updated,"Wine-Drinks","Food-Wine | Wine-Drinks"
"AFHFMS0365","AFMS0365","Always Time For Wine",updated,"Wine-Drinks","Food-Wine | Wine-Drinks"
"AFGFMS0366","AFMS0366","Wish You Were Beer",updated,"Beer | Party-Time","Beer | Party-Time"
"AFHFMS0366","AFMS0366","Wish You Were Beer",updated,"Beer | Party-Time","Beer | Party-Time"
"AFGFMS0367","AFMS0367","Happy Beer Day",updated,"Beer | Party-Time","Beer | Flowers | Party-Time | Summer-Fall-Flowers | Sunflowers"
"AFHFMS0367","AFMS0367","Happy Beer Day",updated,"Beer | Party-Time","Beer | Flowers | Party-Time | Summer-Fall-Flowers | Sunflowers"
"AFGFMS0368","AFMS0368","Drinking Wine And Feeling Fine",updated,"Wine-Drinks","Food-Wine | Wine-Drinks"
"AFHFMS0368","AFMS0368","Drinking Wine And Feeling Fine",updated,"Wine-Drinks","Food-Wine | Wine-Drinks"
"AFGFMS0369","AFMS0369","It's Beer O'clock!",updated,"Beer | Party-Time","Beer | Party-Time"
"AFHFMS0369","AFMS0369","It's Beer O'clock!",updated,"Beer | Party-Time","Beer | Party-Time"
"AFGFMS0370","AFMS0370","Wine A Bit",updated,"Party-Time | Wine-Drinks","Party-Time | Summer | Wine-Drinks"
"AFHFMS0370","AFMS0370","Wine A Bit",updated,"Party-Time | Wine-Drinks","Party-Time | Summer | Wine-Drinks"
"AFGFMS0371","AFMS0371","It's Beer Time",updated,"Beer | Party-Time","Beer | Party-Time"
"AFHFMS0371","AFMS0371","It's Beer Time",updated,"Beer | Party-Time","Beer | Party-Time"
"AFGFMS0372","AFMS0372","Bring Wine To Enter",updated,"Party-Time | Wine-Drinks","Grapes | Party-Time | Summer | Wine-Drinks"
"AFHFMS0372","AFMS0372","Bring Wine To Enter",updated,"Party-Time | Wine-Drinks","Grapes | Party-Time | Summer | Wine-Drinks"
"AFGFMS0373","AFMS0373","It's Wine O'clock",updated,"5-O-Clock-Somewhere | Party-Time | Wine-Drinks","5-O-Clock-Somewhere | Grapes | Party-Time | Summer | Wine-Drinks"
