sku,design_family,design_name,manufacturer,status
AFGFMS0085Q,AFMS0085,"All American Old Wood - Monogram A","AF",updated
AFHFMS0085Q,AFMS0085,"All American Old Wood - Monogram A","AF",updated
AFGFMS0086Q,AFMS0086,"Roses On Wood Frame - Monogram A","AF",updated
AFHFMS0086Q,AFMS0086,"Roses On Wood Frame - Monogram A","AF",updated
AFGFMS0087Q,AFMS0087,"Lush Leaves - Monogram A","AF",updated
AFHFMS0087Q,AFMS0087,"Lush Leaves - Monogram A","AF",updated
AFGFMS0088Q,AFMS0088,"Country Roses - Monogram A","AF",updated
AFHFMS0088Q,AFMS0088,"Country Roses - Monogram A","AF",updated
AFGFMS0089Q,AFMS0089,"Red, White And Blue Emblem - Monogram A","AF",updated
AFHFMS0089Q,AFMS0089,"Red, White And Blue Emblem - Monogram A","AF",updated
AFGFMS0090Q,AFMS0090,"Bright Cosmos - Monogram A","AF",updated
AFHFMS0090Q,AFMS0090,"Bright Cosmos - Monogram A","AF",updated
AFGFMS0091Q,AFMS0091,"Quilted Royalty - Monogram A","AF",updated
